,company,description,est_salary,exp_lvl,link,location,post_time,real_salary_lower,real_salary_upper,title
3738,Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=c0560121c83b6d89&fccid=82c5e27e77990fa2,"Chantilly, VA",Just posted,,,Product Owner (659723)
3739,Pall,"Knowledge of creating and using data management tools (such as searchable database) is a plus. Pall Corporation is a global leader in high-tech filtration,...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a9a9dcca930a0c7c&fccid=812e26d5d0583fc4,"Port Washington, NY 11050",Just posted,,,Material Scientist
3740,The Aerospace Corporation,Understanding of statistics and data science. Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world....,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=7c1164bc25168677&fccid=ba923b146fa75d0d,"El Segundo, CA 90245",Just posted,,,RF Design Engineer
3741,The Johns Hopkins Applied Physics Laboratory,Candidates will be expected to be self-motivated and able to work collaboratively in a team environment with scientists and engineers representing a variety of...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=59bdf0f9595f7886&fccid=b8acc26118799f48,"Laurel, MD",Just posted,,,Synthetic and Applied Chemist
3742,The Aerospace Corporation,"Research emerging technologies including but not limited to cloud computing, software defined networks and data analytics....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=08aa398e75ab5b3d&fccid=ba923b146fa75d0d,"Chantilly, VA 20151",Just posted,,,Software Ground Systems Engineer
3743,Wade & Wendy,"You'll brainstorm with product managers, designers, data scientists and other engineers to conceptualize new features, and then collaborate effectively with...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a7647cd96ffa1ac5&fccid=163fc1e8f2ac4e32,"New York, NY",Just posted,,,Front-End Engineer
3744,"MacAulay-Brown, Inc.",MacAulay Brown is seeking MId-level Naval Missile Analyst to perform technical analysis using all source intelligence data on worldwide foreign missile threats....,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=52713903dc7a8ebb&fccid=b253b564901b80b5,"Suitland, MD",Just posted,,,Naval Missile Analyst (Mid Level)
3745,NATIONAL GRID CO USA (NE POWER),Data visualization (e.g. The Data Scientist is responsible for working to provide data driven solutions and conclusions from several different sources of...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=e2d654133269eb31&fccid=e5d4c641c45c9109,"Brooklyn, NY",Today,,,Data Scientist
3746,Marathon Oil,"...The Principal Data Scientist role in Marathon will be responsible for modeling complex engineering and operational problems, discovering insights and...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=3b62778f8efe91c6&fccid=5d5a6da16805aead,"Houston, TX 77041",Today,,,Principal Data Scientist Job
3747,Stratacuity,"With 5 years academic/industry experience in genetic data set analysis. Our clinical stage client, a highly innovative company dedicated to treating cancer and...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=ecca74095efcbabe&fccid=f8373375a0d329d9,"Boston, MA",Today,,,"Bioinfomatics Analyst, 7135"
