,company,description,est_salary,exp_lvl,link,location,post_time,real_salary_lower,real_salary_upper,title
52,Cover Genius,"You will be working with World-class software engineers from a range of backgrounds including data scientists, former CTOs who have seen major exists, founders...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a354aa97b32ea4a3&fccid=f2f087e2c0d66903,Sydney NSW,30+ days ago,,,Mid to Senior PHP Programmers
53,Driftwood Group,"Data Analytics , Mathematics, & Computer Science Data curious? Part of the process involves analysing big data to spot gaps, trends and changes coming before...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=d3b898823d37204c&fccid=dccf997e43ef4751,Sydney NSW,30+ days ago,,,Data Scientist | Learning Analytics | Education Sector
54,CPR Pharma Services Pty Ltd,Demonstrate efficient problem solving and scientific data interpretation abilities. Provide supervision of analytical scientists and technical officer staff on...,90000.0,mid_level,http://www.indeed.com/cmp/CPR-Pharma-Services-Pty-Ltd/jobs/Principal-Scientist-e9842a1b32bbdd9e?r=1&fccid=57d5e7f0641b3584,Adelaide SA,30+ days ago,95000.0,,Principal Scientist - Immunoassay Development
55,The Cotton On Group,The Data Scientist will join a growing team focused on delivering experiences that our customers love and delivering an insights framework and programs that...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=f772d998a4129358&fccid=6db4ddb1c226f4f3,Geelong VIC,30+ days ago,,,Group - Data Scientist
56,ThreatMetrix,"Math majors not required, but you should be comfortable doing data analysis and making policy recommendations that will be reviewed by internal and customer...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=1dace4f5e19a50c8&fccid=52c964d21d0bf9fc,Sydney NSW,30+ days ago,,,Technical Account Manager - Sydney
57,Cover Genius,"You will be working with World-class software engineers, data scientists, UX specialists and Founders who have come from Google and Yahoo!...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=d58f857434033a9b&fccid=f2f087e2c0d66903,Sydney NSW,30+ days ago,70000.0,120000.0,iOS and App Developers
58,Cardno,"Undertake engineering judgement, interpretation and analysis of data to develop and implement best practice to provide practical and commercial solutions....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a8973aa29c70e23f&fccid=e43715ec04b6eb34,Canberra ACT,30+ days ago,,,Senior Geotechnical Engineer
59,"Department of Economic Development, Jobs, Transpor...","RESEARCH SCIENTIST – FRONT END DEVELOPER (COMPUTATIONAL BIOLOGY). For a confidential discussion, please call Dr Josquin Tibbits, Research Scientist – Molecular...",80000.0,mid_level,http://www.indeed.com/rc/clk?jk=efc3cfb6a3299171&fccid=4e9c3482f39f871e,Melbourne VIC,1 day ago,77418.0,87838.0,Research Scientist - Front End Developer (Computational Biology)
60,NSW Government,Executive Assistant – Data Analytics Centre (DAC). The NSW Data Analytics Centre was established in 2015 to build the Government’s data analytics capability and...,80000.0,mid_level,http://www.indeed.com/rc/clk?jk=b49de7cc5a659415&fccid=e60642a4b38e634f,Sydney NSW,6 days ago,79384.0,87591.0,Executive Assistant
61,"Department of Finance, Services and Innovation",Executive Assistant – Data Analytics Centre (DAC). The NSW Data Analytics Centre was established in 2015 to build the Government’s data analytics capability and...,80000.0,mid_level,http://www.indeed.com/rc/clk?jk=9e39e4429d6257e2&fccid=b3830e674e6ef027,Sydney NSW,6 days ago,79384.0,87591.0,Executive Assistant
62,The Social Research Centre,"Interest in data and data management, analytical techniques, web applications. Data analysis and manipulation on large, complex data sets, including automation....",80000.0,mid_level,http://www.indeed.com/rc/clk?jk=b817aa35fd068023&fccid=cc94dd23597c8877,Melbourne VIC,7 days ago,,,Trainee Analyst / Analyst - Data Science
63,Just Digital People,"The development team currently consists of 4, comprising Python back-end developers, front-end and a data scientist....",80000.0,mid_level,http://www.indeed.com/rc/clk?jk=4c7464c01488f726&fccid=a7700731b3d1495c,Sydney NSW,24 days ago,70000.0,90000.0,Junior - Mid-Level Python Software Engineer
64,Monash University,"Analytical thinking, expert data analysis and critical problem solving skills. Enter the largest and most experienced group of pharmaceutical scientists in...",80000.0,mid_level,http://www.indeed.com/rc/clk?jk=2a2255287cd9c940&fccid=32277d92eb8a3eca,Parkville VIC,30+ days ago,68186.0,92541.0,Research Fellow (GPCR Drug Discovery)
65,Delivery Centric Pty Ltd,"5-10 years experience of interfaces, data migrations, big data, databases. Financial data knowledge preference....",80000.0,mid_level,http://www.indeed.com/cmp/DC--GRS/jobs/Data-Scientist-fe2bcb88609cf570?r=1&fccid=c902ae4b2efaafcf,Sydney NSW,30+ days ago,,,Data Scientist
66,Monash University,The School of Earth Atmosphere and Environment (SEAE) is pleased to welcome applications from talented and ambitious scientists to fill a two-year research...,80000.0,mid_level,http://www.indeed.com/rc/clk?jk=27cfff0d9d0720e5&fccid=32277d92eb8a3eca,Clayton VIC,30+ days ago,68186.0,92541.0,Research Fellow (Atmospheric Science)
67,NSW Health Pathology,"Assess suitability, analyse and present scientific data. Other duties as directed by the department manager and senior hospital scientists....",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=f65db2986006d7ad&fccid=8645ab12ae1d8409,North Shore NSW,Today,,,Hospital Scientist Microbiology
68,Just Digital People,"This development team currently consists of 4, comprising Python back-end developers, front-end and a data scientist....",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=73cf09553427c5f3&fccid=a7700731b3d1495c,Sydney NSW,1 day ago,70000.0,,Grauduate / Junior level Python Software Engineer
69,CSL Behring,"Present scientific data at Group, Project Team and Departmental level. Perform data analysis using routine spreadsheet and graphing platforms and flow cytometry...",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=3c81eb19df411902&fccid=784e2aaf1bc10465,Parkville VIC,2 days ago,,,Scientist - Translational Research
70,ARRB Group,"Collect and analyse data. Contribute to the design of experiments, questionnaires, surveys and other data collection tools....",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=3b532c54426f8743&fccid=606c5c0721b4933c,Vermont South VIC,2 days ago,,,Graduate Behavioural/ Research Scientist: Road Safety
71,NSW Health Pathology,"Demonstrated ability to extract and analyse data relevant to processes and KPI, and deliver reports using effective communication skills....",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=402b89c26c1f457e&fccid=8645ab12ae1d8409,Wyong NSW,6 days ago,,,Hospital Scientist
72,The Sydney Children's Hospitals Network,Demonstrated experience with using other electronic resources for literature searching and using online Genomic databases for data analysis and interpretation....,70000.0,mid_level,http://www.indeed.com/rc/clk?jk=d5685f94d7af9c34&fccid=3607a21d766680c2,Sydney NSW,7 days ago,,,Hospital Scientist (Sydney Genome Diagnostics)
73,Oneflare,"Working with large scale data sets. Big data tools and frameworks including Hadoop, Redshift & Apache Spark....",70000.0,mid_level,http://www.indeed.com/rc/clk?jk=b21e63711d775880&fccid=524cc6038f9a26af,Sydney NSW,30+ days ago,65000.0,90000.0,Data Scientist
74,Queensland Government,Provide advice to the Supervising Scientist in relation to performance of subordinate staff within the unit. Experience in or the ability to rapidly learn pre...,70000.0,entry_level,http://www.indeed.com/rc/clk?jk=d5761d9bd413a425&fccid=033d5c6dd090c8a4,Brisbane QLD,7 days ago,,,Coordinator Central Specimen Reception
75,The Sydney Children's Hospitals Network,Demonstrated experience with using other electronic resources for literature searching and using online Genomic databases for data analysis and interpretation....,60000.0,mid_level,http://www.indeed.com/rc/clk?jk=74c54c6d3b584c86&fccid=3607a21d766680c2,Westmead NSW,7 days ago,,,Hospital Scientist (Sydney Genome Diagnostics)
76,NSW Government,"How did you select target sites, sample populations, handle relevant data, and process material and data on your return to the laboratory?...",60000.0,mid_level,http://www.indeed.com/rc/clk?jk=8f2b0520252fa6ba&fccid=e60642a4b38e634f,Sydney NSW,9 days ago,54983.0,80259.0,"Technical Officer, Biodiversity Sampling"
77,NSW Health Pathology,Performance of data entry and retrieval using the OmniLab LIMS. Assist senior scientists to ensure that the Department’s methods and procedures manuals are...,60000.0,mid_level,http://www.indeed.com/rc/clk?jk=a7f63d8741a456d4&fccid=8645ab12ae1d8409,Randwick NSW,13 days ago,,,Technical Officer
78,Sydney Local Health District,"This involves the preparation and administration of radiopharmaceuticals, patient imaging, collection and analysis of data, quality control on equipment and...",60000.0,mid_level,http://www.indeed.com/rc/clk?jk=8a5205500bf84835&fccid=309045c31bfe124c,Inner West NSW,11 days ago,,,Medical Radiation Scientist/Nuclear Medicine Technologist (Level 1/2) Temp F/T
79,Nano-Nouvelle Pty Ltd,Accurate data record keeping. We are currently seeking to expand our team with a technologist to run the batch production equipment and assist our scientists...,60000.0,mid_level,http://www.indeed.com/cmp/Nano--Nouvelle-Pty-Ltd/jobs/Production-Technician-99a34b9d7ccf55f8?r=1&fccid=9c28c6d254cf6389,Sunshine Coast QLD,30+ days ago,,,Production Technician
80,Suncorp Group,About the Data business. 3-4 years' post grad experience including practising complex data science/multivariate data analysis either in a commercial or academic...,60000.0,senior_level,http://www.indeed.com/rc/clk?jk=ca35769efa6a9bb8&fccid=095b91d1e7195475,Melbourne VIC,Just posted,,,Senior Analyst Data Science
81,Astron Environmental Services,"Database Searches & Data Entry. Reporting to the Principal Scientist, your required tasks may include:. Our core permanent staff comprises experienced and well...",50000.0,mid_level,http://www.indeed.com/cmp/Astron-Environmental-Services/jobs/Graduate-Scientist-a5508f8b6b4a2158?r=1&fccid=3e53699ce91fb0d9,Perth WA,23 days ago,50000.0,,Graduate Scientist
82,Monash University,"You will have the opportunity to work with the scientists within Seeing Machines, including an industry placement, to ensure maximal exposure and training in...",20000.0,mid_level,http://www.indeed.com/rc/clk?jk=15a62f58f82f6d9c&fccid=32277d92eb8a3eca,Clayton VIC,30+ days ago,25392.0,,PhD Scholarship Opportunity in Sleep and Circadian Medicine
