,company,description,est_salary,link,location,post_time,real_salary_lower,real_salary_upper,title
300,Dealertrack,"Lead a team of product analysts, data scientists and operational/BI analysts that allow us to track our product performance, demonstrate the value of our...",150000.0,http://www.indeed.com/rc/clk?jk=bc1f701f567daa68&fccid=a4550c5fe4b0f5b9,"Burlington, VT",30+ days ago,,,"Vice President Product, Retail Platform"
301,Gilead Sciences,Of biomarker data in preclinical and clinical setting. A group of biomarker scientists responsible for multiple programs and oversee....,150000.0,http://www.indeed.com/rc/clk?jk=eeb025a6c68eed11&fccid=e4b075354d7c2865,"Foster City, CA",30+ days ago,,,"Director, Inflammation/Immunology Biomarkers"
302,Eli Lilly,"Provide training, coaching and mentorship to safety surveillance scientists, and other GPS Medical physicians and clinical research scientists with respect to...",150000.0,http://www.indeed.com/rc/clk?jk=ad1ce62e5c4a5e24&fccid=ac8d156b339793e6,"Indianapolis, IN",30+ days ago,,,Medical Advisor
303,A9.com,"Aggressively grow the team of big data, data scientists, and data advocates through networking, and active recruiting....",150000.0,http://www.indeed.com/rc/clk?jk=d38908054a6f4808&fccid=9cae81a4b33162f2,"Palo Alto, CA",30+ days ago,,,"Senior Manager, Search Analytics"
304,Second Genome,Present data packages relating to scientific programs and candidate molecules to various internal and external stakeholders....,150000.0,http://www.indeed.com/rc/clk?jk=6ed3625318ca49ae&fccid=1f506a83515ecb37,"South San Francisco, CA 94080",30+ days ago,,,Head of Discovery
305,Amazon Corporate LLC,Work with data engineers and data scientists to grow the best in class data processing and analytics platform on the planet....,150000.0,http://www.indeed.com/rc/clk?jk=eb81521159279a11&fccid=fe2d21eef233e94a,"Detroit, MI",30+ days ago,,,Software Development Manager
306,Accenture,"Understanding of analytics roles and responsibilities (e.g., data scientist). Data management skills....",150000.0,http://www.indeed.com/rc/clk?jk=6aa1150ae784085c&fccid=a4e4e2eaf26690c9,"New York, NY 10011 (Chelsea area)",30+ days ago,,,Accenture Analytics- Analytics Resources Sales Lead Senior Manager
307,"Amazon Web Services, Inc.",Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data?...,150000.0,http://www.indeed.com/rc/clk?jk=3ecaa294064ce9f0&fccid=fe2d21eef233e94a,"New York, NY",30+ days ago,,,Data Scientist - NYC
308,BuzzFeed,"Lead, nurture, and grow a team of Data Scientists. Significant experience managing, mentoring, and coaching teams of data scientists and analysts....",150000.0,http://www.indeed.com/rc/clk?jk=4b4596f1bfd6f57a&fccid=aadc8cd1bc50c192,"New York, NY",30+ days ago,,,Director of Data Science
309,PlaceIQ,"Strong experience with big data sets and NoSQL databases. Having already assembled an exceptionally skilled, diverse and passionate team of developers and data...",150000.0,http://www.indeed.com/rc/clk?jk=dacf1ea8a6c2157f&fccid=6ae0e4a8a0a337cd,"New York, NY",30+ days ago,,,Lead Software Engineer
310,"Beckman Coulter, Inc.","Solid business acumen with strong financial skills, ability to digest and synthesize data quickly. Scientists use our life science research instruments to study...",150000.0,http://www.indeed.com/rc/clk?jk=298541dfae3aa28d&fccid=432c7642003cc768,"Brea, CA 92821",30+ days ago,,,"Director, Open Innovation"
311,Amazon Corporate LLC,Expertise in analyzing very large experimental and observational data sets. They also work on cross-disciplinary efforts with other scientists within Amazon....,150000.0,http://www.indeed.com/rc/clk?jk=666c63e0b8dee6ba&fccid=fe2d21eef233e94a,"Seattle, WA",30+ days ago,,,Research Scientist
312,Amazon Corporate LLC,"Strong grasp of machine learning, data mining and data analytics techniques. Communication and data presentation skills....",150000.0,http://www.indeed.com/rc/clk?jk=2d2aa51bdfee6f0a&fccid=fe2d21eef233e94a,"Seattle, WA",30+ days ago,,,Senior Research Scientist (Machine Learning)
313,GE Digital,"Architects, Data Scientists, Businesses & Product Managers. Expert in core data structures as well as algorithms and has the ability to implement them using...",150000.0,http://www.indeed.com/rc/clk?jk=a3f577c861b3f301&fccid=643a553ccd7fba02,"San Ramon, CA",30+ days ago,,,Sr Staff Software Engineer
314,Pocket Gems,"Mentor a team of analysts, data scientists, and data engineers; We think that our analysts, data scientists, and analytics engineers are working on several...",150000.0,http://www.indeed.com/rc/clk?jk=8f1c0807b56a177e&fccid=687134d04f99a767,"San Francisco, CA 94104 (Financial District area)",30+ days ago,,,Director of Analytics
315,AIG,Machine Learning / Predictive Modeling / Statistics AIG is seeking world-class dynamic Data Scientists to join our Science team that drives transformational...,150000.0,http://www.indeed.com/rc/clk?jk=552e1f33501b7386&fccid=9a92a4bf81326e1e,"New York, NY",30+ days ago,,,"Director, Data Scientist/Modeler"
316,AIG,"Train, mentor, and lead junior data scientists. We are looking for talented, curious, and creative Data Scientists to join our growing team....",150000.0,http://www.indeed.com/rc/clk?jk=ec2014a2bf2d71b4&fccid=9a92a4bf81326e1e,"New York, NY",30+ days ago,,,"Science - Senior Manager, Data Scientist Modeler"
317,Selby Jennings,Senior Data Scientist. The market intelligence wing of an up and coming hedge fund is looking for senior level data scientists from the technology giants of the...,140000.0,http://www.indeed.com/rc/clk?jk=d5b25214c2015e1e&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",Just posted,,,Senior Data Scientist
318,Selby Jennings,"Familiarity with data structures, algorithms, risk management software. The team consists of some of the top computer scientists and software developers in the...",140000.0,http://www.indeed.com/rc/clk?jk=02e7787151b02ee0&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",Just posted,120000.0,165000.0,Senior Python Developer - Leading US Bank
319,Morningstar,"Provide visionary technology leadership, keeping abreast of new developments in all areas of technology, with an emphasis on mobile, knowledge management, and...",140000.0,http://www.indeed.com/rc/clk?jk=6f5919c8099149e0&fccid=eaabf52abd909bd5,"Chicago, IL",Today,,,Director of Technology
320,GE Healthcare,"Capture system level requirements by brainstorming with Engineers, Data Scientists, and Product Managers. Are you passionate about microservices, evolution of...",140000.0,http://www.indeed.com/rc/clk?jk=f67f5eba566b9274&fccid=65b5f2aba4dbd31f,"Seattle, WA 98199 (Magnolia area)",Today,,,Staff Software Engineer
321,Jobspring Partners,Working with the top Data Scientist Team in the country. This Frontend Developer will be working directly with some of the top Data Scientists in the country on...,140000.0,http://www.indeed.com/rc/clk?jk=09a8ff44fc3d14f4&fccid=4a2d2fbadf14d480,"San Francisco, CA",Today,130000.0,160000.0,FrontEnd Developer
322,Workbridge Associates,"You love big data, machine learning, and have done an AWS migration or two in your day. A leader in predictive marketing machine learning software is looking...",140000.0,http://www.indeed.com/rc/clk?jk=6d1ca550fe42b775&fccid=a6920e0a635e5c4e,"San Francisco, CA",Today,120000.0,160000.0,Infrastructure Engineer for Successful Machine Learning Startup
323,PNS IT Solutions LLC,"Data Modeling (SAAS):. A lot of their current Data Scientists have Actuarial Backgrounds, which they love but it is not necessary....",140000.0,http://www.indeed.com/cmp/Seven-Hills-Software-Technologies/jobs/Data-Scientist-0cb4527a47b567d7?r=1&fccid=f913e058b7a5adb3,"Hartford, CT",Today,,,Data Scientist / Data Modeling / Data Engineer
324,Selby Jennings,Capable of managing large data sets. Quantitative Researcher – Big Data and Machine Learning. 1-3 years of experience with machine learning and big data...,140000.0,http://www.indeed.com/rc/clk?jk=7765baf301a9bbca&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",Today,,,Quantitative Researcher – Big Data & Machine Learning
325,Capital One,"Here you’ll find hackers, rockers, artists, entrepreneurs, and data scientists. Plano 6 (31066), United States of America, Plano, Texas....",140000.0,http://www.indeed.com/rc/clk?jk=be690b4245f595f6&fccid=b85c5070c3d3d8c8,"Plano, TX",Today,,,"Director, Assistant General Counsel - Auto Finance"
326,"Ascension12 Consulting, LLC",May oversee the work of Medical and/or Scientific Directors and of Clinical Scientists working on the same or related programs....,140000.0,http://www.indeed.com/cmp/Ascension12-Consulting/jobs/Group-Medical-Director-989ab2e022245e44?r=1&fccid=366f8215c8f9410f,"Lake, IL",Today,,,Group Medical Director
327,"Regulus Therapeutics, Inc.","Supervise and participate in the review, analysis and interpretation of clinical study data. Safety data review, safety committee participation, signal...",140000.0,http://www.indeed.com/rc/clk?jk=91dc9997de6c41e6&fccid=9005c4006de89984,"San Diego, CA 92130",Today,,,Medical Director/Sr. Medical Director
328,"Human Capital Resource, LLC.","Digest complex data structures, perform statistical data reduction, summarization, normalization and multivariate data analyses and report findings using...",140000.0,"http://www.indeed.com/cmp/Human-Capital-Resource,-LLC./jobs/Machine-Learning-Scientist-0ca51c43b091f477?r=1&fccid=2b8c9e212b35fd23","Boston, MA",Today,140000.0,,Machine Learning Scientist
329,"Human Capital Resource, LLC.","It begins with the raw sequence data and results in comprehensive variant calls, tumor-specific calls, and variant annotations along with raw BAM file data...",140000.0,"http://www.indeed.com/cmp/Human-Capital-Resource,-LLC./jobs/Biostatistician-dd4b6b4b9681f3d4?r=1&fccid=2b8c9e212b35fd23","Boston, MA",Today,140000.0,,Biostatistician / Bioinformatician
330,Stride Search,"Handling Big Data. Director of Analytics / Data Mining. The combination of big data in energy, data mining and consumer advertising come together to make this...",140000.0,http://www.indeed.com/rc/clk?jk=339a1567faa5b393&fccid=8cb287d0f4046b2f,"Sunnyvale, CA",Today,,,Director of Analytics / Data Mining
331,Elevate Recruiting Group,Strong experience with big data sets and NoSQL databases. Solid foundation in computer science fundamentals from data structures and algorithms to high-level...,140000.0,http://www.indeed.com/rc/clk?jk=500fc95ea34136ab&fccid=ea0afd5c2a813ac2,New York State,Today,,,Lead Software Engineer
332,Yahoo! Inc.,Research Scientist in computer vision and deep learning. This is an exciting opportunity to apply your computer vision skills to the 10 terabytes of data that...,140000.0,http://www.indeed.com/rc/clk?jk=0f54e5f424e09c9c&fccid=4af112e64e0d43e1,"New York, NY",1 day ago,,,Sr. Research Scientist- Yahoo Video
